symbol,isETF
AAOI,0
AAPL,0
ABNB,0
ADBE,0
ADI,0
ADM,0
ADP,0
ADSK,0
AEIS,0
AEM,0
AEP,0
AFRM,0
AJG,0
ALAB,0
ALNY,0
AMAT,0
AMC,0
AMCR,0
AMD,0
AMGN,0
AMZN,0
ANET,0
APH,0
APLD,0
APO,0
APP,0
ARES,0
ARM,0
ASML,0
ASND,0
ASTS,0
AVAV,0
AVGO,0
AXON,0
AXP,0
B,0
BA,0
BAM,0
BBBY,0
BBIO,0
BE,0
BG,0
BKNG,0
BKR,0
BLK,0
BMNR,0
BSX,0
CAT,0
CDE,0
CDNS,0
CEG,0
CELH,0
CF,0
CHRW,0
CIEN,0
CIFR,0
CLS,0
CLSK,0
CMCSA,0
CME,0
CMG,0
CMI,0
COF,0
COHR,0
COMP,0
COP,0
COST,0
CPRT,0
CRCL,0
CRDO,0
CRM,0
CROX,0
CRWD,0
CRWV,0
CSCO,0
CSX,0
CVNA,0
CVX,0
CYTK,0
DASH,0
DAVE,0
DDOG,0
DE,0
DELL,0
DHR,0
DIA,1
DIS,0
DKS,0
DLTR,0
DOCN,0
DUOL,0
DXCM,0
DXYZ,0
EA,0
EFA,1
EGO,0
EOG,0
EOSE,0
EQT,0
EQX,0
ET,0
ETN,0
EWJ,1
EXC,0
EXE,0
FANG,0
FDX,0
FIGR,0
FIX,0
FLY,0
FN,0
FSLR,0
FTAI,0
FTNT,0
FUTU,0
GD,0
GDX,1
GDXJ,1
GE,0
GFI,0
GH,0
GILD,0
GLD,1
GLW,0
GLXY,0
GME,0
GOOG,0
GOOGL,0
GS,0
HAL,0
HD,0
HIMS,0
HL,0
HNGE,0
HON,0
HOOD,0
HPE,0
HUT,0
HYG,1
IAG,0
IBIT,1
IBM,0
IEF,1
IEMG,1
INDA,1
INOD,0
INSM,0
INTC,0
INTU,0
IONQ,0
IP,0
IREN,0
ISRG,0
ITB,1
IWM,1
JBHT,0
JCI,0
JNJ,0
JOBY,0
JPM,0
KDP,0
KGC,0
KKR,0
KLAC,0
KMI,0
KO,0
KRE,1
KRMN,0
KVYO,0
KWEB,1
LIN,0
LITE,0
LLY,0
LMT,0
LNG,0
LQD,1
LQDA,0
LRCX,0
LUNR,0
MA,0
MAR,0
MARA,0
MCD,0
MCHP,0
MCK,0
MDB,0
MDLZ,0
MELI,0
META,0
MMM,0
MNST,0
MOS,0
MP,0
MPC,0
MPWR,0
MRK,0
MRVL,0
MSFT,0
MSTR,0
MTSI,0
MTZ,0
MU,0
MXL,0
NBIS,0
NEM,0
NET,0
NFLX,0
NKE,0
NLY,0
NOW,0
NSC,0
NTLA,0
NTRA,0
NU,0
NUE,0
NVDA,0
NVO,0
NVT,0
NXPI,0
ODFL,0
OKE,0
OKLO,0
ON,0
ONDS,0
ORCL,0
ORLY,0
OSCR,0
OUST,0
OXY,0
PAAS,0
PACB,0
PANW,0
PATH,0
PAYX,0
PCAR,0
PDD,0
PEP,0
PG,0
PINS,0
PL,0
PLTR,0
PODD,0
POET,0
PSX,0
PWR,0
PYPL,0
QCOM,0
QQQ,1
QTUM,0
QUBT,0
QXO,0
RBLX,0
RBRK,0
RDDT,0
RDW,0
REGN,0
RGLD,0
RIG,0
RIOT,0
RIVN,0
RKLB,0
RKT,0
RMBS,0
ROKU,0
ROP,0
ROST,0
RTX,0
SAIA,0
SANM,0
SBUX,0
SE,0
SEDG,0
SEI,0
SEZL,0
SGI,0
SHAZ,0
SHOP,0
SHW,0
SHY,1
SIMO,0
SITM,0
SLB,0
SLV,1
SMCI,0
SMH,1
SNDK,0
SNOW,0
SNPS,0
SOFI,0
SOUN,0
SPY,1
SSRM,0
STRL,0
STX,0
SYK,0
TAN,1
TE,0
TEAM,0
TEL,0
TEM,0
TER,0
TGTX,0
TLN,0
TLT,1
TMO,0
TMUS,0
TRGP,0
TRP,0
TRV,0
TSLA,0
TSM,0
TTD,0
TTMI,0
TTWO,0
TWLO,0
TXN,0
UAN,0
UBER,0
UNH,0
UNP,0
UPS,0
UPST,0
USO,1
V,0
VEEV,0
VG,0
VIAV,0
VLO,0
VRT,0
VRTX,0
WAB,0
WBD,0
WDAY,0
WDC,0
WELL,0
WMB,0
WMT,0
WOLF,0
WPM,0
WULF,0
XAR,1
XBI,1
XEL,0
XLB,1
XLC,1
XLE,1
XLF,1
XLI,1
XLK,1
XLP,1
XLRE,1
XLU,1
XLV,1
XLY,1
XOP,1
XPO,0
XRT,1
ZETA,0
ZS,0
