fred_series_id,description,category,frequency,datasource,num_revisions,file_type,filename,release_delay
RRPONTSYD,ON_RRP_Daily,A1,daily,ALFRED,1,latest,A1_RRPONTSYD_ON_RRP_Daily_latest.csv,T+1
WALCL,Fed_Total_Assets,A1,weekly,ALFRED,1,latest,A1_WALCL_Fed_Total_Assets_latest.csv,"W+0 (Thu 4:30pm ET, H.4.1)"
WDTGAL,TGA_Wed_Level,A1,weekly,ALFRED,1,latest,A1_WDTGAL_TGA_Wed_Level_latest.csv,"W+0 (Thu 4:30pm ET, H.4.1)"
WORAL,Repo_Agreements,A1,weekly,ALFRED,1,latest,A1_WORAL_Repo_Agreements_latest.csv,"W+0 (Thu 4:30pm ET, H.4.1)"
WRESBAL,Reserve_Balances,A1,weekly,ALFRED,1,latest,A1_WRESBAL_Reserve_Balances_latest.csv,"W+0 (Thu 4:30pm ET, H.4.1)"
WSHOMCB,MBS_Held,A1,weekly,ALFRED,1,latest,A1_WSHOMCB_MBS_Held_latest.csv,"W+0 (Thu 4:30pm ET, H.4.1)"
WSHOTSA,Treasury_Securities_Held,A1,weekly,ALFRED,1,latest,A1_WSHOTSA_Treasury_Securities_Held_latest.csv,"W+0 (Thu 4:30pm ET, H.4.1)"
WTREGEN,TGA_Week_Avg,A1,weekly,ALFRED,1,latest,A1_WTREGEN_TGA_Week_Avg_latest.csv,"W+0 (Thu 4:30pm ET, H.4.1)"
DSPIC96,Real_Disposable_Income,A2,monthly,ALFRED,3,revision_timeline,A2_DSPIC96_Real_Disposable_Income_revision_timeline.csv,N/A (actual release dates in data)
MMMFFAQ027S,MMF_Total_Assets_Q,A2,quarterly,ALFRED,1,latest,A2_MMMFFAQ027S_MMF_Total_Assets_Q_latest.csv,Q+10w (Fed Z.1 Financial Accounts)
MZMNS,Money_Zero_Maturity,A2,monthly,ALFRED,2,revision_timeline,A2_MZMNS_Money_Zero_Maturity_revision_timeline.csv,N/A (actual release dates in data)
RMFSL,Retail_MMF_SA,A2,monthly,ALFRED,2,revision_timeline,A2_RMFSL_Retail_MMF_SA_revision_timeline.csv,N/A (actual release dates in data)
