SYMBOL,first_date,last_date,min_close,min_close_3yr,first_close,max_close,n_rows,vol_early,vol_mid,vol_ratio,is_shell,verdict
AAOI,20140723,20260702,1.5,8.38,21.35,223.1,3004,0.6437,0.6953,0.9257,false,NOT DETECTED
AAPL,19870220,20260702,0.12,0.25,0.27,315.2,9910,0.5303,0.439,1.2078,false,SUBTRACTED
ABNB,20211004,20260702,82.49,82.49,164.5,207.21,1191,0.5394,0.356,1.5154,false,NOT DETECTED
ADBE,19870611,20260702,0.46,0.46,1.03,688.37,9833,0.6535,0.5175,1.2628,false,SUBTRACTED
ADI,19861107,20260702,0.94,1.44,2.79,445.48,9980,0.5054,0.439,1.1513,false,LIKELY_SUBTRACTED
ADM,19861107,20260702,3.99,3.99,4.74,98.22,9981,0.3775,0.2759,1.3682,false,NOT DETECTED
ADP,19861113,20260702,3.35,3.35,3.51,326.81,9977,0.3235,0.2675,1.2095,false,NOT DETECTED
ADSK,19861113,20260702,1.5,1.5,1.53,342.27,9977,0.6481,0.545,1.1893,false,LIKELY_SUBTRACTED
AEM,19861107,20260702,2.81,7.13,19.75,252.19,9980,0.462,0.6207,0.7443,false,NOT DETECTED
AEP,19861107,20260702,17.69,24.75,28.88,138.69,9981,0.2152,0.1462,1.4721,false,NOT DETECTED
AFRM,20211101,20260702,8.91,8.91,152.66,168.52,1171,1.1286,0.7616,1.4819,false,NOT DETECTED
AJG,19861107,20260702,3.47,3.47,7.41,348.77,9981,0.3124,0.2394,1.3049,false,NOT DETECTED
ALNY,20050415,20260702,6.0,7.0,8.11,491.22,5336,0.5752,0.4188,1.3734,false,NOT DETECTED
AMAT,19861119,20260702,0.15,0.15,0.15,723.0,9973,0.6532,0.5786,1.129,false,SUBTRACTED
AMC,20141013,20260702,0.95,97.35,175.4,553.54,2947,0.3385,0.9039,0.3745,false,NOT DETECTED
AMCR,20200401,20260702,36.69,39.2,39.3,67.45,1571,0.2658,0.2252,1.1803,false,NOT DETECTED
AMD,19861107,20260702,1.62,3.56,8.0,580.91,9981,0.5863,0.6456,0.9082,false,NOT DETECTED
AMGN,19861107,20260702,0.34,0.34,0.39,388.16,9981,0.6349,0.4185,1.5168,false,SUBTRACTED
AMZN,19980407,20260702,0.3,0.34,0.36,274.99,7103,1.0293,0.5344,1.9259,false,SUBTRACTED
ANET,20150402,20260702,3.31,3.31,4.13,177.73,2829,0.4023,0.4495,0.8951,false,NOT DETECTED
APH,19921009,20260702,0.08,0.08,0.09,176.32,8483,0.5739,0.3679,1.5598,false,SUBTRACTED
APLD,20030715,20260702,0.01,6.06,45.18,107.28,3891,0.8471,4.6634,0.1817,true,NOT DETECTED
APO,20120210,20260702,10.21,10.21,14.07,178.61,3618,0.3265,0.2539,1.2858,false,NOT DETECTED
APP,20220203,20260702,9.3,9.3,61.31,733.6,1106,0.7809,0.8243,0.9474,false,NOT DETECTED
ARES,20150303,20260702,10.91,10.91,20.32,198.22,2851,0.3563,0.413,0.8628,false,NOT DETECTED
ASML,19991209,20260702,0.09,0.09,32.83,1989.44,6509,1.6955,0.7129,2.3783,false,SUBTRACTED
ASND,20151119,20260702,12.25,12.25,16.78,274.5,2668,0.4498,0.426,1.0558,false,NOT DETECTED
ASTS,20210125,20260702,2.01,2.74,14.85,133.09,1366,1.0029,1.282,0.7823,false,NOT DETECTED
AVGO,20100604,20260702,1.87,1.87,2.08,481.57,4044,0.4049,0.3749,1.0801,false,LIKELY_SUBTRACTED
AXON,20020426,20260702,0.28,0.28,1.54,870.97,6085,0.8869,0.52,1.7055,false,SUBTRACTED
AXP,19861107,20260702,4.61,5.47,8.52,384.89,9980,0.436,0.3745,1.1642,false,NOT DETECTED
B,19871026,20260702,3.61,3.61,4.07,55.63,9737,0.3565,0.3143,1.1343,false,NOT DETECTED
BA,19861107,20260702,7.65,7.65,11.69,440.62,9981,0.2838,0.2706,1.0486,false,NOT DETECTED
BAM,20230929,20260702,28.67,28.67,33.34,63.19,691,0.3013,0.33,0.9132,false,NOT DETECTED
BBBY,20030326,20260702,2.65,8.0,10.4,122.32,5855,0.7454,0.9353,0.797,false,NOT DETECTED
BE,20190516,20260702,2.67,2.67,12.99,345.85,1792,1.1881,0.7876,1.5085,false,NOT DETECTED
BG,20020611,20260702,17.79,17.79,22.35,133.0,6054,0.29,0.3665,0.7914,false,NOT DETECTED
BKNG,20000124,20260702,0.26,0.26,14.39,232.64,6650,1.3406,0.4406,3.043,false,SUBTRACTED
BLK,20000731,20260702,31.82,31.82,33.75,1202.59,6519,0.4079,0.2604,1.5664,false,NOT DETECTED
BMNR,20070829,20260702,4.27,160.0,24000.0,38400.0,2023,75.1622,3.7765,19.9025,true,NOT DETECTED
BSX,19930324,20260702,2.41,2.41,3.63,108.14,8373,0.409,0.5333,0.7669,false,NOT DETECTED
CAT,19861107,20260702,4.66,4.66,4.89,1064.9,9981,0.3586,0.2965,1.2095,false,NOT DETECTED
CDE,19861107,20260702,1.73,147.5,196.25,342.5,9980,0.5008,0.4252,1.1779,false,NOT DETECTED
CDNS,19880509,20260702,1.51,1.51,1.82,416.39,9603,0.43,0.5569,0.7722,false,LIKELY_SUBTRACTED
CEG,20221202,20260702,73.4,73.4,92.04,403.95,897,0.4169,0.5937,0.7022,false,NOT DETECTED
CELH,20071113,20260702,0.01,0.01,0.08,96.11,4625,2.3642,2.0643,1.1453,false,SUBTRACTED
CF,20060602,20260702,2.61,2.61,3.28,137.6,5052,0.5293,0.456,1.1608,false,NOT DETECTED
CHRW,19980810,20260702,3.69,3.69,5.53,200.59,7017,0.5204,0.2788,1.8664,false,NOT DETECTED
CIEN,19971209,20260702,5.09,28.66,202.13,1046.5,7184,1.0612,0.8314,1.2763,false,NOT DETECTED
CIFR,20210927,20260702,0.41,0.41,10.19,29.18,1196,1.3188,1.1532,1.1436,false,SUBTRACTED
CLS,19990505,20260702,2.59,18.47,19.09,472.4,6832,0.7873,0.4724,1.6663,false,NOT DETECTED
CLSK,20190219,20260702,1.05,1.05,42.5,56.8,1852,1.6225,1.0836,1.4973,false,LIKELY_SUBTRACTED
